政府_lag,CPI_lag,R2,政府_p,CPI_p,サンプルサイズ,分析タイプ,業種
0,0,0.4571724993274865,0.003926818614674588,0.1008738321854763,120,業種別,小麦加工業
0,0,0.07485777627911738,0.6976569846180971,0.5178881892841201,120,業種別,外食
0,1,0.452294925096015,0.0007819083231457302,0.390902809048014,117,業種別,小麦加工業
0,1,0.06859673899104879,0.4553789328108855,0.5761487682593716,117,業種別,外食
0,2,0.4589982252991289,0.00037408286054851914,0.770630412849642,114,業種別,小麦加工業
0,2,0.061797584452144005,0.1304288824139319,0.6959400671626186,114,業種別,外食
0,3,0.4645458033841239,0.0006295169749999108,0.9138166674919459,111,業種別,小麦加工業
0,3,0.05619392205211127,0.03846935851213029,0.8108432543029931,111,業種別,外食
0,4,0.4703967734357757,0.0006579726842250722,0.8512246024640282,108,業種別,小麦加工業
0,4,0.05461967120006139,0.04203691387280628,0.8387252075075813,108,業種別,外食
1,0,0.39511655622456565,0.00015745547099510482,0.04429320238642842,117,業種別,小麦加工業
1,0,0.06922133911083872,0.8515043693576285,0.5127278711281438,117,業種別,外食
1,1,0.38338658186495733,8.707722877598911e-05,0.21320526693054065,117,業種別,小麦加工業
1,1,0.06696834462896106,0.725833463502175,0.53036771044197,117,業種別,外食
1,2,0.3831800077109989,5.431565584013143e-05,0.5757061308293752,114,業種別,小麦加工業
1,2,0.05775478685114155,0.11402348990070266,0.6434351365342832,114,業種別,外食
1,3,0.3874597160263977,0.00021441888799289543,0.9704454238562299,111,業種別,小麦加工業
1,3,0.049938049128665285,0.02256689482823271,0.7595244192915191,111,業種別,外食
1,4,0.4068832955999804,0.00019556401328957307,0.5441546225434508,108,業種別,小麦加工業
1,4,0.04961707560613793,0.016536486904849435,0.812790322967456,108,業種別,外食
2,0,0.36794889095767735,0.0104308783781073,2.396331038045929e-07,114,業種別,小麦加工業
2,0,0.06902947949844174,0.004211206247717314,0.419006499526156,114,業種別,外食
2,1,0.29693667988010763,0.5293365268702197,2.5502699398938233e-06,114,業種別,小麦加工業
2,1,0.06334596476446064,3.9441921141802894e-05,0.4469045194522012,114,業種別,外食
2,2,0.27282056657339593,0.0640828957363826,0.00035737775747368694,114,業種別,小麦加工業
2,2,0.058338572156992674,2.220446049250313e-16,0.4726509585344689,114,業種別,外食
2,3,0.2591970775003073,0.027786734695584014,0.02416752970913505,111,業種別,小麦加工業
2,3,0.04237683989912322,0.7940761815643977,0.5695087115692292,111,業種別,外食
2,4,0.2647823078453827,0.010815943951845597,0.4290902590124952,108,業種別,小麦加工業
2,4,0.03868654432076768,0.6983874806876722,0.6291570365194903,108,業種別,外食
3,0,0.4337462769214855,1.598343679631853e-11,3.439698526008783e-09,111,業種別,小麦加工業
3,0,0.07711674287115655,7.847056338050606e-13,0.29850644847482033,111,業種別,外食
3,1,0.32627910430254414,3.911274460466352e-05,2.096292028852531e-10,111,業種別,小麦加工業
3,1,0.07161685565063436,0.0,0.32074553845668996,111,業種別,外食
3,2,0.2541530487216216,0.14087244435184543,1.2723155862204294e-13,111,業種別,小麦加工業
3,2,0.06372365774094002,9.595303407383682e-07,0.3543339647284325,111,業種別,外食
3,3,0.20353987641629456,0.5647986524268869,1.2434497875801753e-13,111,業種別,小麦加工業
3,3,0.04699598957946749,0.1719402451690688,0.4277423881851461,111,業種別,外食
3,4,0.18306311512706697,0.15797933967935052,8.561012820229585e-05,108,業種別,小麦加工業
3,4,0.04091697373223713,0.3549047996739598,0.4883108811471706,108,業種別,外食
4,0,0.49518814246031206,3.968695565514935e-07,4.741919034545461e-06,108,業種別,小麦加工業
4,0,0.09505515049452662,0.0,0.2442074215198673,108,業種別,外食
4,1,0.4090310451757695,1.3462415262566196e-06,3.79264504646315e-06,108,業種別,小麦加工業
4,1,0.09150364387625587,0.0,0.2555700893741708,108,業種別,外食
4,2,0.32114667604789593,1.2641980094096894e-05,1.745035993261368e-06,108,業種別,小麦加工業
4,2,0.08428704562496203,0.0,0.2742794640196109,108,業種別,外食
4,3,0.22626378401918523,0.0016846250684436903,1.695799056733449e-11,108,業種別,小麦加工業
4,3,0.05935287967891989,2.3314683517128287e-13,0.33907965520458316,108,業種別,外食
4,4,0.16085170268930182,0.48584481748140873,7.0956573949843005e-12,108,業種別,小麦加工業
4,4,0.0565612963086094,0.00045026583370977313,0.3521994705810836,108,業種別,外食
